greeting, language, used
dimineaţă. romanian, TRUE
dobro jutro, slovenian , TRUE
dobro jutro, crotian, TRUE 
Labas rytas, lithuanian, TRUE
добро јутро, serbian, TRUE
Hyvää huomenta, finnish, TRUE
maidin mhaith, irish, TRUE
Bien di Bun di, romansh, TRUE
Καλημέρα, greek, TRUE
bon matin, french, TRUE
сутрин всички, bulgarian, TRUE
manhã, portuguese, TRUE
ochtend-, dutch, TRUE
Buongiorno, italian, TRUE
Buon Giorno, ligurian, TRUE
Bon girunu, monégasque, TRUE
ranek, polish, TRUE
Guten Morgen, german, TRUE
Mañana, spanish, TRUE
god morgon,  swedish, FALSE
добрай раніцы, belarusian, FALSE
jó reggelt kívánok, hungarian, FALSE
bon dia, catalanian, FALSE
Iterluarit Kumoorn, greenlandic, TRUE
Buorre iđit,  sami, TRUE
gut margn, yiddish, FALSE
Buna dimineata, romani, TRUE
хәерле иртә, tatar, FALSE
добро утро, macedonian, FALSE
Bongu, maltese, TRUE
Dobré ráno, czechia, FALSE
Mirëmëngjes, tosk, TRUE
Mirëmëngjes, albanian, TRUE
god morgon, swedish, FALSE
sabaa hayir olsun, gaguaz, TRUE
buna dimineata, moldovan, TRUE
Goeie moarn, frisian, TRUE
Gudde Moien, luxembourgish, TRUE
Labrīt, latvian, FALSE
Günaydın, turkish, FALSE
Tere hommikust, estonian, TRUE
Goeije morn, flemish, TRUE
demat, breton, TRUE
egun on, basque, FALSE
dobré ráno, slovak, FALSE
god morgen, bokmal, FALSE
god morgon, nynorsk, TRUE
Buenos días, castillian, TRUE
Buen diya, Aragonese, FALSE
Madainn mhath, Scottish Gaelic, FALSE
maidin mhaith, Irish Gaelic, FALSE
, waloon, FALSE
, ladin, FALSE
bon matin, occitan, TRUE
bore da, Welsh, FALSE 
Guid mornin, Scots, FALSE
Good Morning, English, FALSE
